"","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V102","V104","V106","V107","V108","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","Class"
"307",0.48486704566723,0.377274215038426,0.361236783901078,0.370240489481093,0.319484014537444,0.356995346404448,0.435021732709091,0.48787897930221,0.470865170404669,0.546523604243513,0.573796733989829,0.336169222632958,0.339299263105769,0.400257189647916,0.256657846112689,0.231943975535923,0.342424013075608,0.36139192977589,0.3095410193861,0.406217961124924,0.494403551157825,0.444635348209769,0.755560019622302,0.59542313846033,0.534955017553198,0.42309868107421,0.430513685131123,0.523615410233043,0.573054892719676,0.55567153734508,0.551700734411874,0.645582359035075,0.615385361312594,0.171198712791633,0.333754740834386,0.305099030762747,0.305099030762747,0.46031746031746,0.482300884955752,0.730079254799165,0.23537996841026,0.221061467898285,0.401752003660022,0.509576716110833,0.337850970416936,0.506354926597167,0.418637913618652,0.329711612579362,0.159087446785294,0.210083378700898,0.102288437914485,0.202498812569721,0.256976138295129,0.297543576806195,0.247867093693033,0.16292950317494,0.112143437293108,0.0445679386773577,0.260692751328083,0.230919212080135,0.203899064362099,"4"
"597",0.268042751857118,0.425771687064299,0.417016155163542,0.28581179954658,0.300691676756526,0.259209756271366,0.258870751037427,0.385411789826255,0.38488195369552,0.459080291972528,0.490623295916069,0.574390834630562,0.551693486787511,0.543839474828081,0.528833890207782,0.60329925227006,0.57694824642193,0.580132707876919,0.644526411592799,0.65195154602735,0.613702158004436,0.616426895788624,0.495694869422899,0.619943971598635,0.562386206077338,0.391467017774852,0.398829647568401,0.459976684242612,0.509011512735497,0.557539529362921,0.54364243662141,0.551645207439199,0.592800899887514,0.531034482758621,0.590585659551177,0.590585659551177,0.590585659551177,0.590585659551177,0.5669819957278,0.260137633547899,0.269027709220335,0.324407182855953,0.365278879585872,0.337059727125287,0.284204994249366,0.276742588523023,0.198257318768369,0.226208615632365,0.105237912141175,0.108474736114,0.60165547393878,0.42424055070304,0.47442904233559,0.603058856834292,0.566645283778012,0.480115578630737,0.527081303468676,0.506534001942626,0.528577103416225,0.375963829962029,0.383472684601543,"6"
"277",0.344775131965524,0.378884404355555,0.431231895155987,0.332714964627049,0.389475136009648,0.250301347704906,0.236547350118652,0.384044988819556,0.380969188175861,0.433550198106707,0.437777850824959,0.707644233157516,0.772676909192029,0.747347004168094,0.748681814478645,0.784120987672528,0.677552984298351,0.689551223381824,0.833536206337379,0.840811964715417,0.825055185705259,0.846569941760067,0.47741703500465,0.505769681298501,0.51023812498336,0.240677514511371,0.458823490636208,0.309890061420049,0.306359897346402,0.313443744799235,0.276971072036301,0.478683834048641,0.470472440944882,0.76551724137931,0.795292829775588,0.795292829775588,0.795292829775588,0.795292829775588,0.7834909978639,0.438023409711231,0.339539850820686,0.362151222388861,0.433619282895867,0.434654388210526,0.61347045313534,0.591893477430227,0.323998936774843,0.355577924587062,0.130476283368355,0.142470418539782,0.724550643206318,0.660267292335207,0.654048007887352,0.701436017053943,0.630554357132498,0.716601327328095,0.755911668633511,0.722352711972965,0.709035306701971,0.510736529574683,0.542749438774728,"3"
"874",0.541048275670798,0.579243488509929,0.669697414621106,0.630139082478338,0.572763034487985,0.392497743246112,0.442846410894323,0.618338200161407,0.582388648910732,0.721256062188179,0.763766143557639,0.562908267705714,0.606715831325395,0.604437230596936,0.549628423512964,0.628768539670532,0.542747258184951,0.585632271979139,0.708074928800824,0.657690853966542,0.58294635663574,0.553717062215525,0.566856571424613,0.5910558138913,0.643385974649428,0.524915514592934,0.532499102312464,0.483476132190942,0.553163653524249,0.566310220201945,0.53851976450799,0.577293512696247,0.573678290213723,0.786833855799373,0.813902572523262,0.813902572523262,0.813902572523262,0.813902572523262,0.803173634421727,0.639988343434064,0.490051887975816,0.518296359480553,0.57615846246938,0.568367603676813,0.744859858639547,0.56843281039448,0.30362708985712,0.491011914513965,0.22979126716218,0.269130789119176,0.603230867810907,0.578537764829183,0.477699628215065,0.471135883402806,0.530885242324498,0.622289612077426,0.582703450972611,0.538091886422206,0.638794306024569,0.503665298744726,0.520065483587794,"9"
"950",0.417414094447065,0.515593797757036,0.540920464953916,0.484882700310691,0.484798625770705,0.367693475681436,0.36313424393651,0.489342516121648,0.486214312622615,0.624034179229288,0.627865067707181,0.816416769810159,0.799073327416958,0.796912746250517,0.786722150518045,0.840160992380048,0.80508320584985,0.80688456241096,0.869659810238388,0.869536214103804,0.836094345473835,0.860250838328344,0.492283006998159,0.521780328903807,0.528516833820424,0.385823836128799,0.397804653089693,0.418456240173691,0.467227056255059,0.518389028758789,0.502538507749609,0.515593705293276,0.487626546681665,0.808150470219435,0.832512315270936,0.832512315270936,0.832512315270936,0.832512315270936,0.822856270979554,0.225521407797493,0.238363972069353,0.282565887938384,0.274065313473149,0.295891376514407,0.334634663718151,0.328039840383784,0.248141172729943,0.281041302029702,0.0945829465102561,0.104082418106876,0.623012947329247,0.561349224750783,0.560879442322579,0.580134854903351,0.57308135030432,0.574900781809834,0.61973680123705,0.619792509159859,0.625269690271072,0.426276187372909,0.458243809051383,"10"
"494",0.815172283649453,0.832958052653857,0.819430809247886,0.743629967831318,0.750343951192755,0.688470454822818,0.682346687011573,0.795423528642963,0.796708294455781,0.710916835759638,0.715828294357118,0.618478084286327,0.692700872027304,0.716460220373265,0.726294439003939,0.809588412466884,0.967977335834193,0.93080296898844,0.759468929261581,0.754137697047054,0.641912847624789,0.586999789756065,0.694062134235664,0.681591149508344,0.673906104110638,0.553198792308915,0.560829210187893,0.508520651705292,0.600131666253598,0.625823139512624,0.563861256924103,0.505418249387466,0.477625641622383,1,1,1,1,1,1,0.386145159037245,0.279747497831002,0.331338201102395,0.343857956788908,0.307559042588987,0.242976495685478,0.291954048548713,0.287039889092685,0.337660680823001,0.198163506469754,0.282023659518831,0.622190220748614,0.609686202979006,0.646405459696507,0.599385321914564,0.574366583741776,0.595391923917754,0.678886991714942,0.703395214081699,0.703156763280964,0.553986835910196,0.619451054434527,"5"
"330",0.220272216901568,0.246709863604701,0.255955781935994,0.15082077555281,0.150384663088829,0.165801498953902,0.162297407637789,0.21566052764949,0.215364053222557,0.266873344154355,0.274883330958074,0.315220923923853,0.381929469345945,0.378163693281071,0.300763989044568,0.357869553368597,0.434356659393051,0.44188681333201,0.382135103152187,0.403173428522972,0.426197805336797,0.405711659149535,0.64256742332598,0.683636602509361,0.676000925711641,0.249155145929339,0.256282142225358,0.255675246205427,0.303411001036114,0.338938360843052,0.314134084404196,0.657319980925131,0.646044244469441,0.0407523510971785,0.16256157635468,0.16256157635468,0.16256157635468,0.16256157635468,0.114281354897773,0.00704763279212966,0.0115122066634219,0.0380138518961507,6.52676719085995e-05,0,0.00439317885546091,0.00180922460896395,0.00403526098247108,0.00502064159556019,0.00124328173630325,0.00274224345800943,0.345644841668581,0.294965888832674,0.323067897898985,0.468236112414702,0.450452705386043,0.400282396262549,0.454395498945602,0.395139927158155,0.432364900767687,0.263410855546639,0.289865334956206,"4"
"775",0.926636841290805,0.894721136053311,0.923118361625853,0.787367771438862,0.802231896949082,0.762794487243218,0.78652806658058,0.854080908349107,0.903287587269993,0.953849392710512,0.945613336872106,0.228054976056949,0.369578649236009,0.309732014409217,0.360965667366102,0.320291903922719,0.383663431272887,0.416495897620929,0.434319658103097,0.368435025286471,0.210768279934317,0.20535914345898,0.866674682298785,0.877613728772479,0.886530496612374,0.631459293394777,0.599460789606308,0.552569189688303,0.541636149765852,0.675731212042178,0.735362919787979,0.752198230768946,0.763435820522435,0.854545454545454,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.86569495054659,0.517904041907534,0.362459852925399,0.474193730378101,0.660644739807844,0.664150798202866,0.557105241162336,0.458379034393054,0.445405953712964,0.472296163887328,0.433491275723351,0.438261079436064,0.690384311191575,0.643178498818954,0.72377604876285,0.601302449777166,0.802837750102949,0.862046942051182,0.825366725113565,0.678359049961078,0.78355114595846,0.681734073151422,0.639086637331096,"8"
"841",0.501511155738264,0.509455821499707,0.524139595567569,0.436788796064155,0.484397705421785,0.354256869248567,0.370821754097507,0.551308621544374,0.503328108056119,0.611293028786092,0.66470619997074,0.682972852973986,0.724678780022507,0.723545829517172,0.731141481192854,0.723699126680195,0.621133310967866,0.618330766098354,0.745597669285923,0.779962042942193,0.757328121851328,0.713200656617834,0.554513286930829,0.570862150251221,0.560504574285287,0.385823836128799,0.393177122199922,0.418456240173691,0.467227056255059,0.556766893947862,0.502538507749609,0.583690987124463,0.573678290213723,0.786833855799373,0.813902572523262,0.813902572523262,0.813902572523262,0.813902572523262,0.803173634421727,0.370151267168456,0.327996519352145,0.369490590924736,0.351206890538704,0.444870704280619,0.604407130153142,0.594227341873345,0.321107416618104,0.34435274727613,0.12777831398067,0.169502978282011,0.563318604772376,0.571596165531795,0.586444429159619,0.628224713734699,0.60332030964328,0.645094910481283,0.649440907707554,0.581950815229909,0.642149978735667,0.452059274571274,0.482342848773425,"9"
"591",0.27225569872105,0.388067095889908,0.39302156279779,0.273375652506328,0.326259136144074,0.256063243176925,0.238392986632454,0.373162774755251,0.367738795769119,0.437591950515167,0.446748802069771,0.577545952492193,0.539875951096249,0.540329165826767,0.513611225192497,0.525752315801156,0.471475944455271,0.501752528082719,0.625709330488183,0.642574519565933,0.60828802861727,0.602215702482882,0.495694869422899,0.525454903764041,0.514001388567461,0.308309150757077,0.372726546967961,0.419548444368389,0.463363889449304,0.503729391663518,0.487147422804277,0.500143061516452,0.491563554555681,0.531034482758621,0.590585659551177,0.590585659551177,0.590585659551177,0.590585659551177,0.5669819957278,0.24820839166672,0.308567984268914,0.346692793685655,0.402433552363529,0.488666382613083,0.472110967512612,0.42308386489664,0.227231815293121,0.25353469978261,0.112057573696869,0.123822351677488,0.595057583285268,0.477761437581998,0.504497715713173,0.642335225118672,0.578221113106964,0.53572704019168,0.592711866095197,0.541967822723029,0.557473026023897,0.395934507791441,0.42410755456644,"6"
